"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2024","78,699.07","78,607.62","79,043.15","78,598.55","7.69M","0.29%"
"12/26/2024","78,472.48","78,557.28","78,898.37","78,173.38","5.57M","0.00%"
"12/24/2024","78,472.87","78,707.37","78,877.36","78,397.79","6.18M","-0.09%"
"12/23/2024","78,540.17","78,488.64","78,918.12","78,189.19","10.32M","0.64%"
"12/20/2024","78,041.59","79,335.48","79,587.15","77,874.59","9.00M","-1.49%"
"12/19/2024","79,218.05","79,029.03","79,516.17","79,020.08","6.53M","-1.20%"
"12/18/2024","80,182.20","80,666.26","80,868.02","80,050.07","4.67M","-0.62%"
"12/17/2024","80,684.45","81,511.81","81,613.64","80,612.20","4.89M","-1.30%"
"12/16/2024","81,748.57","82,000.31","82,116.44","81,551.28","5.17M","-0.47%"
"12/13/2024","82,133.12","81,212.45","82,213.92","80,082.82","11.31M","1.04%"
"12/12/2024","81,289.96","81,476.76","81,680.97","81,211.64","7.80M","-0.29%"
"12/11/2024","81,526.14","81,568.39","81,742.37","81,383.42","6.28M","0.02%"
"12/10/2024","81,510.05","81,575.96","81,726.34","81,182.69","5.61M","0.00%"
"12/09/2024","81,508.46","81,602.58","81,783.28","81,411.55","6.36M","-0.25%"
"12/06/2024","81,709.12","81,887.54","81,925.91","81,506.19","8.84M","-0.07%"
"12/05/2024","81,765.86","81,182.74","82,317.74","80,467.37","7.51M","1.00%"
"12/04/2024","80,956.33","81,036.22","81,245.39","80,630.53","7.24M","0.14%"
"12/03/2024","80,845.75","80,529.20","80,949.10","80,244.78","9.40M","0.74%"
"12/02/2024","80,248.08","79,743.87","80,337.82","79,308.95","7.30M","0.56%"
"11/29/2024","79,802.79","79,032.99","79,923.90","79,026.18","8.92M","0.96%"
"11/28/2024","79,043.74","80,281.64","80,447.40","78,918.92","7.91M","-1.48%"
"11/27/2024","80,234.08","80,121.03","80,511.15","79,844.49","5.70M","0.29%"
"11/26/2024","80,004.06","80,415.47","80,482.36","79,798.67","10.44M","-0.13%"
"11/25/2024","80,109.85","80,193.47","80,473.08","79,765.99","13.98M","1.25%"
"11/22/2024","79,117.11","77,349.74","79,218.19","77,226.69","17.05M","2.54%"
"11/21/2024","77,155.79","77,711.11","77,711.11","76,802.73","8.82M","-0.54%"
"11/19/2024","77,578.38","77,548.00","78,451.65","77,411.31","7.15M","0.31%"
"11/18/2024","77,339.01","77,863.54","77,886.97","76,965.06","8.24M","-0.31%"
"11/14/2024","77,580.31","77,636.94","78,055.52","77,424.81","10.10M","-0.14%"
"11/13/2024","77,690.95","78,495.53","78,690.02","77,533.30","7.41M","-1.25%"
"11/12/2024","78,675.18","79,644.95","79,820.98","78,547.84","6.36M","-1.03%"
"11/11/2024","79,496.15","79,298.46","80,102.14","79,001.34","16.91M","0.01%"
"11/08/2024","79,486.32","79,611.90","79,807.26","79,117.37","10.34M","-0.07%"
"11/07/2024","79,541.79","80,563.42","80,563.42","79,419.34","8.18M","-1.04%"
"11/06/2024","80,378.13","79,771.82","80,569.73","79,459.12","20.21M","1.13%"
"11/05/2024","79,476.63","78,542.16","79,523.13","78,296.70","8.62M","0.88%"
"11/04/2024","78,782.24","79,713.14","79,713.14","78,232.60","9.48M","-1.18%"
"11/01/2024","79,724.12","80,023.75","80,023.75","79,655.55","2.25M","0.42%"
"10/31/2024","79,389.06","80,044.95","80,044.95","79,287.93","9.27M","-0.69%"
"10/30/2024","79,942.18","80,237.85","80,435.61","79,821.99","5.93M","-0.53%"
"10/29/2024","80,369.03","80,037.20","80,450.48","79,421.35","9.63M","0.45%"
"10/28/2024","80,005.04","79,653.67","80,539.81","79,418.82","10.75M","0.76%"
"10/25/2024","79,402.29","80,187.34","80,253.19","79,137.98","13.91M","-0.83%"
"10/24/2024","80,065.16","80,098.30","80,259.82","79,813.02","4.83M","-0.02%"
"10/23/2024","80,081.98","79,921.13","80,646.31","79,891.68","6.18M","-0.17%"
"10/22/2024","80,220.72","81,155.08","81,504.24","80,149.53","5.59M","-1.15%"
"10/21/2024","81,151.27","81,770.02","81,770.02","80,811.23","7.60M","-0.09%"
"10/18/2024","81,224.75","80,749.26","81,391.15","80,409.25","9.31M","0.27%"
"10/17/2024","81,006.61","81,758.07","81,781.40","80,905.64","6.84M","-0.61%"
"10/16/2024","81,501.36","81,646.60","81,932.15","81,358.26","5.58M","-0.39%"
"10/15/2024","81,820.12","82,101.86","82,300.44","81,635.57","5.51M","-0.19%"
"10/14/2024","81,973.05","81,576.93","82,072.17","81,541.20","7.67M","0.73%"
"10/11/2024","81,381.36","81,478.49","81,671.38","81,304.15","8.70M","-0.28%"
"10/10/2024","81,611.41","81,832.66","82,002.84","81,538.94","7.61M","0.18%"
"10/09/2024","81,467.10","81,954.58","82,319.21","81,342.89","7.51M","-0.21%"
"10/08/2024","81,634.81","80,826.56","81,763.28","80,813.07","7.16M","0.72%"
"10/07/2024","81,050.00","81,926.99","82,137.77","80,726.06","17.66M","-0.78%"
"10/04/2024","81,688.45","82,244.25","83,368.32","81,532.68","19.22M","-0.98%"
"10/03/2024","82,497.10","83,002.09","83,752.81","82,434.02","19.74M","-2.10%"
"10/01/2024","84,266.29","84,257.17","84,648.40","84,098.94","6.05M","-0.04%"
"09/30/2024","84,299.78","85,208.76","85,359.65","84,257.14","10.95M","-1.49%"
"09/27/2024","85,571.85","85,893.84","85,978.25","85,474.58","9.36M","-0.31%"
"09/26/2024","85,836.12","85,167.56","85,930.43","85,106.74","9.14M","0.78%"
"09/25/2024","85,169.87","84,836.45","85,247.42","84,743.04","13.52M","0.30%"
"09/24/2024","84,914.04","84,860.73","85,163.23","84,716.07","8.73M","-0.02%"
"09/23/2024","84,928.61","84,651.15","84,980.53","84,607.38","11.12M","0.45%"
"09/20/2024","84,544.31","83,603.04","84,694.46","83,187.64","28.72M","1.63%"
"09/19/2024","83,184.80","83,359.17","83,773.61","83,071.66","6.63M","0.29%"
"09/18/2024","82,948.23","83,037.13","83,326.38","82,700.63","5.08M","-0.16%"
"09/17/2024","83,079.66","83,084.63","83,152.41","82,866.68","9.83M","0.11%"
"09/16/2024","82,988.78","82,985.33","83,184.34","82,832.82","6.86M","0.12%"
"09/13/2024","82,890.94","83,091.55","83,092.93","82,653.22","12.72M","-0.09%"
"09/12/2024","82,962.71","81,930.18","83,116.19","81,534.29","8.35M","1.77%"
"09/11/2024","81,523.16","81,928.12","82,134.95","81,423.14","7.83M","-0.49%"
"09/10/2024","81,921.29","81,768.72","82,196.55","81,445.30","5.58M","0.44%"
"09/09/2024","81,559.54","80,973.75","81,653.36","80,895.05","7.83M","0.46%"
"09/06/2024","81,183.93","82,171.08","82,254.79","80,981.93","14.54M","-1.24%"
"09/05/2024","82,201.16","82,469.79","82,617.49","82,130.44","6.96M","-0.18%"
"09/04/2024","82,352.64","81,845.50","82,408.54","81,833.69","9.05M","-0.25%"
"09/03/2024","82,555.44","82,652.69","82,675.06","82,400.76","4.32M","-0.01%"
"09/02/2024","82,559.84","82,725.28","82,725.28","82,440.93","9.50M","0.24%"
"08/30/2024","82,365.77","82,637.03","82,637.03","82,256.02","10.31M","0.28%"
"08/29/2024","82,134.61","81,822.56","82,285.83","81,682.78","8.42M","0.43%"
"08/28/2024","81,785.56","81,779.84","82,039.26","81,578.32","5.10M","0.09%"
"08/27/2024","81,711.76","81,815.23","81,919.11","81,600.51","5.73M","0.02%"
"08/26/2024","81,698.11","81,388.26","81,824.27","81,278.44","16.17M","0.75%"
"08/23/2024","81,086.21","81,165.65","81,231.49","80,883.26","10.39M","0.04%"
"08/22/2024","81,053.19","81,207.24","81,236.45","80,954.02","5.83M","0.18%"
"08/21/2024","80,905.30","80,667.25","80,952.83","80,626.38","5.77M","0.13%"
